topic,term,beta
1,abandon,3.246680156481937e-4
2,abandon,1.9175864205737335e-4
3,abandon,2.499179221752015e-4
4,abandon,1.573670556358583e-4
5,abandon,4.185366420868446e-4
6,abandon,6.037157738816701e-5
7,abandon,2.0858745581259523e-4
8,abandon,3.058242965950509e-4
9,abandon,2.228404978574261e-4
10,abandon,2.3169760802389209e-4
1,abat,6.157950818139134e-7
2,abat,8.842726508249094e-5
3,abat,1.5680331758523218e-15
4,abat,2.4051815002955595e-276
5,abat,4.707535097387971e-25
6,abat,5.434607403996368e-5
7,abat,2.2518313198628924e-5
8,abat,5.6911347050745996e-8
9,abat,9.69492290018247e-6
10,abat,6.038702383756139e-5
1,abettor,4.5800372634698626e-18
2,abettor,2.2135443612131252e-5
3,abettor,2.174021190566231e-295
4,abettor,1.22991297e-315
5,abettor,8.88871148076e-312
6,abettor,1.53e-322
7,abettor,1.1007214e-317
8,abettor,6.5002873590606e-311
9,abettor,1.894600894e-314
10,abettor,1.0323006427040071e-306
1,abey,5.29756552233594e-7
2,abey,4.4187596038958704e-5
3,abey,2.2219063247378714e-5
4,abey,1.0017522053806319e-227
5,abey,7.619321035333466e-303
6,abey,3.561851538e-314
7,abey,2.573788732524222e-278
8,abey,4.084857605342422e-292
9,abey,1.122771034901228e-306
10,abey,6.85767807590629e-288
1,abid,2.0701416014167034e-4
2,abid,2.8000346267017243e-5
3,abid,1.2816492035660395e-4
4,abid,1.2149033493726212e-4
5,abid,1.6509751620691893e-4
6,abid,7.842238456757547e-13
7,abid,1.5385410645106344e-4
8,abid,2.693507912042956e-4
9,abid,1.534428032076614e-8
10,abid,8.080383058101115e-212
1,abil,8.97764269686294e-4
2,abil,4.478438004171602e-4
3,abil,2.1150614924889761e-4
4,abil,3.883493474542224e-4
5,abil,3.9429667888607874e-4
6,abil,9.226234700029329e-4
7,abil,4.100387584814363e-4
8,abil,4.19522322294974e-5
9,abil,6.484686992329213e-4
10,abil,0.001104887703761612
1,abl,0.0011589600513562252
2,abl,4.900460659638533e-4
3,abl,9.588429690738226e-4
4,abl,0.0011817728261248742
5,abl,5.13876155665364e-4
6,abl,0.0012524350622423732
7,abl,2.7475919754198555e-4
8,abl,9.878405142134173e-4
9,abl,9.225888483673445e-4
10,abl,4.3256336683759547e-4
1,abra,3.9406437208054735e-5
2,abra,1.684880083546121e-5
3,abra,2.0348499497644834e-19
4,abra,7.82910313699945e-309
5,abra,2.5647369737837307e-306
6,abra,3.168557e-317
7,abra,2.53979742640445e-309
8,abra,1.1847764143621263e-25
9,abra,1.69128880480955e-308
10,abra,7.660710011680319e-302
1,abridg,1.6325705318775613e-18
2,abridg,2.21354436121333e-5
3,abridg,2.531711646903772e-274
4,abridg,1.1377884970781222e-175
5,abridg,1.839720525209245e-285
6,abridg,1.7276489815486165e-18
7,abridg,2.2406233990632773e-5
8,abridg,4.780419458349526e-17
9,abridg,1.4304580407727984e-15
10,abridg,4.0686610654293937e-253
1,abroad,0.0011656059956547957
2,abroad,5.799381495547627e-4
3,abroad,7.973810480471145e-5
4,abroad,7.68794983424938e-4
5,abroad,3.5786931316296325e-4
6,abroad,0.001361002643666494
7,abroad,8.03946815265654e-4
8,abroad,5.237799079487578e-4
9,abroad,5.777067940934039e-4
10,abroad,1.2222801821884939e-4
1,absenc,5.291532417441184e-9
2,absenc,2.805991007935733e-4
3,absenc,1.204056726331651e-4
4,absenc,4.5689687336823975e-5
5,absenc,5.2199609663183985e-30
6,absenc,9.595412967642804e-5
7,absenc,2.4444280340376162e-5
8,absenc,4.5969468708357865e-5
9,absenc,9.674695315150192e-8
10,absenc,6.897314035123181e-5
1,absolut,4.5281613241660165e-4
2,absolut,2.8472737624812665e-4
3,absolut,6.845002844870915e-4
4,absolut,1.0470533543105325e-4
5,absolut,1.473130776563648e-4
6,absolut,7.002477694530584e-6
7,absolut,2.400052513497091e-4
8,absolut,2.3679688104970815e-4
9,absolut,1.3110266095943908e-4
10,absolut,1.0332972012864081e-4
1,abstain,2.534245095636312e-13
2,abstain,8.85417742721851e-5
3,abstain,1.2268737884712576e-294
4,abstain,5.1077597321e-313
5,abstain,1.738287894688374e-309
6,abstain,4.25465e-319
7,abstain,3.1370582400512936e-106
8,abstain,1.0718065759510152e-105
9,abstain,9.86772039147e-313
10,abstain,1.317354348594747e-278
1,absurd,1.863548927620282e-8
2,absurd,6.703576200908669e-5
3,absurd,3.144760688942316e-4
4,absurd,2.4023805687759084e-200
5,absurd,3.2609254675843307e-5
6,absurd,1.0807224838701283e-5
7,absurd,3.7535581708045824e-28
8,absurd,2.4934596953898753e-5
9,absurd,1.5130961206624117e-7
10,absurd,2.0475293006993908e-5
1,abund,2.9432096097052515e-4
2,abund,2.4003528964499715e-5
3,abund,7.245377503860386e-5
4,abund,3.91116048364053e-5
5,abund,5.120164281706348e-4
6,abund,5.280664418579818e-4
7,abund,2.0503834634275043e-4
8,abund,3.642631871594487e-4
9,abund,1.3801431432710717e-4
10,abund,6.194359125610274e-5
1,accept,8.725094264532968e-4
2,accept,1.7455563172348132e-4
3,accept,4.4972103713446866e-4
4,accept,3.937979199501731e-4
5,accept,3.992535871096376e-4
6,accept,3.392806372778948e-4
7,accept,1.0516265655196325e-4
8,accept,0.0016996167898628621
9,accept,2.0213920008680744e-4
10,accept,2.60670880125932e-4
1,access,3.5460750813869876e-4
2,access,8.737255131589124e-5
3,access,6.556501837907044e-5
4,access,5.688813268190389e-4
5,access,1.1608972228596156e-4
6,access,4.515388681669097e-4
7,access,4.592076576445181e-5
8,access,1.2768382736650838e-4
9,access,5.223399221518431e-5
10,access,9.953898700036442e-4
1,accommod,5.057832521349797e-10
2,accommod,2.0760557141770902e-4
3,accommod,1.6139844634096555e-28
4,accommod,3.714415895796569e-5
5,accommod,5.595863261476146e-5
6,accommod,1.4946514002810868e-4
7,accommod,9.978393160878475e-5
8,accommod,1.0049239152474718e-4
9,accommod,1.9014897472371167e-10
10,accommod,1.0481778444875642e-4
1,accompani,2.210409404197079e-6
2,accompani,2.0182341232900173e-4
3,accompani,3.988231414804613e-4
4,accompani,1.636101790086797e-20
5,accompani,9.896235281624746e-5
6,accompani,7.098093786920642e-5
7,accompani,3.206305492612337e-4
8,accompani,7.638453535985338e-5
9,accompani,5.033073579082443e-10
10,accompani,2.390052124317894e-5
1,accomplish,0.0014293987111639978
2,accomplish,7.425980472682493e-4
3,accomplish,0.0010025778578391148
4,accomplish,8.702228732497235e-5
5,accomplish,4.130188459892121e-4
6,accomplish,9.912070794323748e-4
7,accomplish,7.778930168752465e-4
8,accomplish,8.304009892160071e-4
9,accomplish,6.180600167795795e-4
10,accomplish,4.465470670029745e-4
1,accord,0.0013536711250699868
2,accord,0.0011625600939033731
3,accord,5.501262599476056e-4
